,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
0,High-School English Teacher,Delta American School  ,1 hour ago,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Education/Teaching Teacher Teaching Education English Teacher School English
1,Java Instructor,MICA ,41 minutes ago,"Haram, Giza, Egypt ",Full Time,Entry Level,IT/Software Development,Engineering - Telecom/Technology Training/Instructor Computer Science Engineering Instructor Java SQL Information technology Web Design
2,Senior Estimator façade Engineer,AluNile ,2 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Project/Program Management AutoCAD Civil Engineering Construction Engineering Estimation
3,Sales Lead,Hands of Hope Physical Therapy & Wellness ,2 hours ago,"Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Sales Sales Strategies sales skills Sales Target Management Communication skills
4,Payroll Supervisor - October City,GEMS Education ,2 hours ago,"6th of October, Giza, Egypt ",Full Time,Manager,4 - 6 Yrs of Exp,Human Resources Operations/Management Compensation Labor Payroll Social Insurance HRIS Labor Legislation compesation & benefits Budgeting
5,Engineer,Confidential ,3 hours ago,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,Engineering - Other Infrastructure Engineering Engineering Infrastructure Projects Infrastructure
6,Retail Store Manager,Hijab Boutique ,3 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,Sales/Retail Sales Management Sales Fashion Fashion Sales Fashion Retail Management Retail Management
7,Recruitment Specialist ( Mass Hiring ),Confidential ,3 hours ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,Human Resources Human Resources (HR) Recruitment Human Resources Administration Sourcing Personnel Management MS Office Microsoft Office
8,Budget and Fixed Assets Section Head,Al,4 hours ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,Accounting/Finance Accounting Budgeting Finance Financial Management
9,Systems Analyst,Confidential ,4 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Analyst/Research Engineering - Telecom/Technology Analyst Business Analysis Computer Science Information Technology (IT) Software System Analysis Programming
10,Office Assistant,Confidential ,4 hours ago,"Hurghada, Red Sea, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Customer Service/Support Operations/Management administrative Administration business Microsoft Office English office MS Office
11,Customer Relations Agent- Hurghada,Somabay ,4 hours ago,"Hurghada, Red Sea, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Customer Service/Support CRM Customer Care Customer Service Customer Support Business Administration English Administration Hospitality business
12,Recruitment and Selection Section Head,El Banna Group Company ,4 hours ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,Administration Human Resources Operations/Management Evaluation Human Resources Communication Human Resources (HR) HR human resources management Personnel
13,Sales Executive - freight forwarding,White Gold Logistics ,4 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Business Development Logistics/Supply Chain Sales/Retail Sales sales skills Negotiation seafreight Logistics Communication Trucking
